"","x","y"
"17x33_1",17,-33
"6x33_1",6,-33
"15x33_1",15,-33
"10x33_1",10,-33
"14x33_1",14,-33
"12x33_1",12,-33
"13x33_1",13,-33
"14x34_1",14,-34
"16x34_1",16,-34
"15x34_1",15,-34
"12x34_1",12,-34
"13x34_1",13,-34
